rowid,utility_id_ferc1,plant_name_ferc1,plant_type,installation_year,capacity_mw,peak_demand_mw,plant_hours_connected_while_generating,net_capacity_favorable_conditions_mw,net_capacity_adverse_conditions_mw,net_generation_mwh
3108,45,wateree,Storage,1919.0,56.0,80.0,8759.0,90.0,85.0,136043.0
3109,45,ninety-nine islands,Run-of-River,1910.0,18.0,18.0,8723.0,20.0,10.0,50740.0
3110,45,keowee,Storage,1971.0,157.5,148.0,641.0,160.0,152.0,51359.0
3111,45,thorpe,Storage,1941.0,21.6,22.0,4142.0,23.0,4.0,70427.0
3112,45,nantahala,Storage,1942.0,43.2,43.0,3995.0,51.0,37.0,179779.0
3113,45,tennessee creek,Storage,1955.0,10.8,11.0,4290.0,11.0,7.0,34326.0
3114,193,peavy falls,Storage,1943.0,12.0,16.0,4048.0,15.0,15.0,40556.4
3115,193,big quinnesec,Run-of-River,1949.0,19.0,22.0,8745.0,16.0,14.0,91120.8
3116,141,faraday,Run-of-River;Storage,1958.0,36.8,48.0,8040.0,46.0,39.0,172202.0
3117,141,north fork,Run-of-River;Stor,1958.0,40.8,57.0,7928.0,58.0,43.0,205559.0
3118,141,river mill,Run-of-River;Stor,1952.0,18.9,28.0,8027.0,25.0,20.0,108855.0
3119,141,oak grove,Run-of-River;Stor,1931.0,51.0,44.0,7939.0,44.0,49.0,261676.0
3120,141,pelton,Run-of-River;Storage,1958.0,109.8,112.0,7030.0,110.0,108.0,478013.0
3121,141,round butte,Storage,1964.0,247.0,306.0,7437.0,338.0,210.0,1110648.0
3122,141,sullivan,Run-of-River,1953.0,15.4,21.0,8023.0,18.0,9.0,125544.0
3123,134,copco no. 1,Storage,1922.0,20.0,26.0,8645.0,28.0,28.0,113105.0
3124,134,copco no. 2,Run-of-River,1925.0,27.0,33.0,8345.0,34.0,34.0,142876.0
3125,134,clearwater no. 1,Run-of-River,1953.0,15.0,12.0,8311.0,18.0,18.0,43500.0
3126,134,clearwater no. 2,Run-of-River,1953.0,26.0,20.0,8733.0,31.0,31.0,56329.0
3127,134,cutler,Storage,1927.0,30.0,29.0,8270.0,29.0,29.0,158075.0
3128,134,fish creek,Run-of River,1952.0,11.0,10.0,5730.0,10.0,10.0,46160.0
3129,134,grace,Storage,1923.0,33.0,29.0,8484.0,33.0,33.0,163373.0
